id,title,skills1
1,Owner,"['E-Commerce', 'PHP', 'Field Technicians', 'Accounting', 'Technical Maintenance']"
2,Manager,"['Software Infrastructure', 'Administrative Organization', 'General Office Work', 'Voice over IP (VoIP)', 'Office Administration']"
3,Consultant,"['Software Infrastructure', 'Artworking', 'Voice over IP (VoIP)', 'Engineering', 'Field Technicians']"
4,Project Manager,"['PHP', 'Field Technicians', 'Technical Maintenance', 'Software Design', 'Software Industry']"
5,Director,"['Software Infrastructure', 'Social Sector', 'Social Services', 'Supportive Services', 'Community Counseling']"
6,President,"['Organizational Consulting', 'E-Commerce', 'PHP', 'Field Technicians', 'Technical Maintenance']"
7,Vice President,"['Higher Education Teaching', 'Educational Institutions', 'Nursing Education', 'PHP', 'Secondary Education']"
8,Chief Executive Officer,"['Methods Engineering', 'E-Commerce', 'PHP', 'Field Technicians', 'Technical Maintenance']"
9,Software Engineer,"['Software Infrastructure', 'Voice over IP (VoIP)', 'Engineering', 'Field Technicians', 'Technical Maintenance']"
10,Engineer,"['Computer-Aided Design (CAD)', 'Field Technicians', 'Financial Economics', 'Technical Maintenance', 'Finance Domain']"
11,Account Manager,"['AutoCAD', 'PHP', 'Field Technicians', 'Healthcare Delivery', 'Technical Maintenance']"
12,Analyst,"['Human Capital Management', 'Field Technicians', 'Technical Maintenance', 'Software Design', 'Software Industry']"
13,Intern,"['Information Technology Infrastructure', 'Computer-Aided Design (CAD)', 'Field Technicians', 'Technical Maintenance', 'Computer Information Systems']"
14,Sales Manager,"['Visual Basic', 'Legal Administration', 'PHP', 'Field Technicians', 'Technical Maintenance']"
15,Teacher,"['AutoCAD', 'English as a Second Language (ESL)', 'PHP', 'Advertising', 'C++']"
16,Managing Director,"['Digital Strategy', 'Director level', 'E-Commerce', 'PHP', 'Field Technicians']"
17,General Manager,"['Software Infrastructure', 'Public Safety', 'Private Security', 'Engineering', 'Field Technicians']"
18,Partner,"['Software Infrastructure', 'Operations Management', 'Operations Administration', 'Engineering', 'Commercial Operation']"
19,Sales Specialist,"['Visual Basic', 'AutoCAD', 'PHP', 'Field Technicians', 'Software Product Management']"
20,Account Executive,"['AutoCAD', 'Oracle Database', 'PHP', 'Field Technicians', 'Technical Maintenance']"
22,Senior Consultant,"['Quality Assurance Standards', 'Quality Assurance Analysis', 'Field Technicians', 'Technical Maintenance', 'Quality Assurance']"
23,Associate,"['Software Infrastructure', 'Real Estate License', 'Engineering', 'Field Technicians', 'Real Property']"
24,Developer,"['Business Research', 'Research Collaboration', 'Field Technicians', 'Technical Maintenance', 'Software Design']"
25,Designer,"['PHP', 'Computer-Aided Design (CAD)', 'Field Technicians', 'Technical Maintenance', 'SalesPro']"
26,Marketing Manager,"['Digital Strategy', 'Search Engine Optimization (SEO)', 'Strategic Marketing Management', 'E-Commerce', 'PHP']"
27,Product Manager,"['Visual Basic', 'E-Commerce', 'PHP', 'Field Technicians', 'Software Product Management']"
28,Operations Manager,"['Visual Basic', 'AutoCAD', 'Operations Management', 'Operations Administration', 'PHP']"
29,Business Analyst,"['Visual Basic', 'IT Business Analysis', 'Banking', 'PHP', 'Field Technicians']"
30,Administrative Assistant,"['Visual Basic', 'AutoCAD', 'ArcGIS Products', 'Banking', 'PHP']"
32,System Engineer,"['AutoCAD', 'Integrated Systems', 'VMWare ESXi', 'PHP', 'Field Technicians']"
33,Program Manager,"['Field Technicians', 'Technical Maintenance', 'Programme Office', 'Software Design', 'Software Industry']"
34,Assistant,"['Software Infrastructure', 'AutoCAD', 'Support Services', 'Engineering', 'Field Technicians']"
35,Founder,"['Software Infrastructure', 'Business Ownership', 'Start-up Leadership', 'Start-up Ventures', 'E-Commerce']"
36,Team Lead,"['PHP', 'Field Technicians', 'Small Team Management', 'Technical Maintenance', 'Building Leadership Teams']"
37,Supervisor,"['Software Infrastructure', 'Staff Oversight', 'Engineering', 'Field Technicians', 'Supervisory Skills']"
38,Administrator,"['AutoCAD', 'Administrative Organization', 'Department Administration', 'Field Technicians', 'Technical Maintenance']"
39,Senior Software Engineer,"['Software Infrastructure', 'Engineering', 'Field Technicians', 'Technical Maintenance', 'Industrial Equipment']"
40,Accountant,"['Visual Basic', 'AutoCAD', 'Year-End Accounting', 'PHP', 'Field Technicians']"
42,Business Development Manager,"['AutoCAD', 'ArcGIS Products', 'Oracle Database', 'PHP', 'Field Technicians']"
43,Office Manager,"['Visual Basic', 'AutoCAD', 'General Office Work', 'Banking', 'PHP']"
44,Coordinator,"['Software Infrastructure', 'Voice over IP (VoIP)', 'Coordinated', 'Engineering', 'Field Technicians']"
45,Human Resources Manager,"['Human Capital Management', 'PHP', 'Field Technicians', 'Global Human Resources Management', 'Technical Maintenance']"
46,Assistant Manager,"['AutoCAD', 'Field Technicians', 'Technical Maintenance', 'Department Management', 'Construction']"
47,Principal,"['Software Infrastructure', 'PHP', 'Engineering', 'Field Technicians', 'General Securities Principal']"
